iter	RMSE
0	2.905224246
1	2.802348209
2	2.710591824
3	2.622686873
4	2.538965695
5	2.464862023
6	2.392618343
7	2.324357271
8	2.260284948
9	2.199363044
10	2.142472707
11	2.088734902
12	2.040541939
13	1.996335575
14	1.953044622
15	1.912880078
16	1.877073071
17	1.848719253
18	1.815542429
19	1.785403287
20	1.757816158
21	1.733332349
22	1.709953786
23	1.687079169
24	1.66415754
25	1.646553969
26	1.627110949
27	1.608867041
28	1.592459512
29	1.577520775
30	1.562361781
31	1.549858571
32	1.537079759
33	1.526138057
34	1.515621458
35	1.506157556
36	1.496070614
37	1.48690335
38	1.479103728
39	1.471958996
40	1.465677864
41	1.459622537
42	1.453786318
43	1.448032025
44	1.442728476
45	1.438036076
46	1.432900567
47	1.428402162
48	1.424117216
49	1.420354842
50	1.415725023
51	1.412274669
52	1.40945093
53	1.405940985
54	1.403515858
55	1.400673961
56	1.398261892
57	1.395981107
58	1.393274512
59	1.391130516
60	1.3890421
61	1.386460676
62	1.384224748
63	1.382626703
64	1.380838474
65	1.37914647
66	1.376899578
67	1.375438008
68	1.374384636
69	1.372936313
70	1.371471908
71	1.370574875
72	1.369197611
73	1.367713095
74	1.366373787
75	1.364962197
76	1.364077948
77	1.363069279
78	1.361977021
79	1.360813768
80	1.359626979
81	1.358862618
82	1.357921854
83	1.356978987
84	1.354546284
85	1.353820937
86	1.353000971
87	1.352369118
88	1.351751859
89	1.350790359
90	1.350192636
91	1.34921014
92	1.348557561
93	1.348105424
94	1.347315263
95	1.346480338
96	1.345818701
97	1.344925238
98	1.344200212
99	1.343356272
100	1.342636463
101	1.340823355
102	1.340081331
103	1.339284122
104	1.338750245
105	1.338298
106	1.33672245
107	1.335494349
108	1.335195133
109	1.334613076
110	1.334270636
111	1.333979508
112	1.333287846
113	1.332544016
114	1.332169301
115	1.331706669
116	1.33128285
117	1.330826854
118	1.330367474
119	1.329798098
120	1.329429978
121	1.328970815
122	1.328401312
123	1.327818244
124	1.32733112
125	1.326576929
126	1.326088759
127	1.325674626
128	1.325285912
129	1.324720262
130	1.324558394
131	1.324192772
132	1.323808112
133	1.32289495
134	1.322405678
135	1.322002925
136	1.321594094
137	1.321290187
138	1.320685933
139	1.320380325
140	1.31986472
141	1.319395534
142	1.31893071
143	1.318583418
144	1.318111839
145	1.316682118
146	1.316432209
147	1.316135007
148	1.315575602
149	1.315042256
150	1.314201959
151	1.313775339
152	1.313459185
153	1.313251094
154	1.312719681
155	1.312448959
156	1.311778564
157	1.310919878
158	1.310000694
159	1.309591951
160	1.309032704
161	1.308605314
162	1.308231125
163	1.307809114
164	1.307303295
165	1.306684381
166	1.306293149
167	1.305966846
168	1.3056665
169	1.305348113
170	1.304736358
171	1.304396084
172	1.303990473
173	1.303440708
174	1.302890725
175	1.302499565
176	1.302272497
177	1.30174649
178	1.301162316
179	1.30092732
180	1.300287665
181	1.299964082
182	1.299558656
183	1.298907759
184	1.298743523
185	1.298170286
186	1.29775082
187	1.297475406
188	1.29690071
189	1.29641212
190	1.295423974
191	1.295082621
192	1.29448876
193	1.294093396
194	1.293667962
195	1.292910911
196	1.292694893
197	1.292103079
198	1.291908439
199	1.291393322
200	1.290852022
