iter	Passed	Remaining
0	1	1876
1	3	1720
2	5	1697
3	6	1636
4	8	1626
5	9	1615
6	11	1598
7	12	1591
8	14	1571
9	15	1552
10	17	1545
11	18	1530
12	20	1532
13	21	1503
14	22	1507
15	24	1507
16	26	1514
17	27	1482
18	28	1481
19	30	1485
20	31	1478
21	33	1483
22	34	1476
23	36	1475
24	37	1470
25	39	1475
26	40	1474
27	42	1470
28	44	1481
29	45	1487
30	47	1487
31	49	1488
32	50	1493
33	52	1493
34	54	1489
35	55	1485
36	57	1489
37	58	1492
38	60	1492
39	62	1488
40	63	1490
41	65	1487
42	66	1482
43	68	1478
44	69	1481
45	71	1480
46	73	1480
47	74	1476
48	76	1479
49	77	1476
50	79	1473
51	80	1473
52	82	1471
53	83	1469
54	85	1471
55	87	1470
56	88	1468
57	90	1468
58	92	1469
59	93	1469
60	95	1469
61	97	1470
62	98	1467
63	100	1464
64	101	1463
65	103	1464
66	105	1462
67	106	1460
68	108	1464
69	110	1465
70	112	1465
71	113	1463
72	115	1460
73	116	1461
74	118	1460
75	120	1460
76	122	1464
77	124	1468
78	125	1465
79	127	1462
80	129	1464
81	130	1463
82	132	1461
83	134	1461
84	136	1465
85	137	1464
86	139	1461
87	140	1461
88	142	1458
89	144	1456
90	145	1455
91	147	1456
92	149	1460
93	151	1458
94	154	1467
95	155	1467
96	157	1467
97	159	1463
98	161	1473
99	163	1472
100	165	1469
101	166	1467
102	168	1465
103	169	1463
104	171	1459
105	172	1457
106	174	1456
107	176	1455
108	177	1452
109	179	1449
110	181	1450
111	182	1444
112	183	1442
113	185	1439
114	186	1437
115	188	1436
116	190	1437
117	192	1439
118	194	1440
119	196	1438
120	197	1435
121	199	1437
122	201	1437
123	203	1436
124	205	1439
125	207	1437
126	208	1436
127	210	1433
128	211	1431
129	213	1429
130	214	1423
131	216	1422
132	217	1419
133	219	1420
134	221	1419
135	223	1418
136	224	1416
137	226	1416
138	228	1418
139	230	1415
140	231	1413
141	233	1409
142	234	1406
143	236	1404
144	237	1402
145	239	1400
146	240	1397
147	242	1395
148	243	1392
149	245	1392
150	247	1389
151	248	1386
152	250	1385
153	251	1383
154	253	1380
155	254	1378
156	256	1375
157	257	1373
158	259	1371
159	260	1368
160	262	1365
161	263	1364
162	265	1361
163	266	1358
164	268	1356
165	269	1354
166	271	1351
167	272	1350
168	273	1347
169	275	1344
170	276	1342
171	278	1340
172	279	1337
173	281	1335
174	282	1332
175	284	1331
176	285	1328
177	287	1326
178	288	1324
179	290	1321
180	291	1319
181	293	1316
182	294	1314
183	295	1312
184	297	1311
185	299	1308
186	300	1306
187	302	1304
188	303	1302
189	305	1300
190	306	1298
191	307	1295
192	309	1293
193	311	1292
194	312	1290
195	314	1289
196	315	1287
197	317	1285
198	319	1284
199	320	1281
200	322	1280
201	323	1278
202	325	1276
203	326	1273
204	328	1272
205	329	1269
206	330	1267
207	332	1265
208	333	1263
209	335	1260
210	336	1258
211	338	1256
212	339	1254
213	341	1252
214	342	1250
215	344	1248
216	345	1246
217	346	1244
218	348	1242
219	349	1240
220	351	1238
221	352	1236
222	354	1233
223	355	1231
224	357	1229
225	358	1227
226	359	1225
227	361	1223
228	362	1221
229	364	1219
230	365	1217
231	367	1215
232	368	1213
233	370	1211
234	371	1209
235	373	1208
236	374	1206
237	376	1204
238	377	1203
239	379	1201
240	380	1199
241	382	1197
242	384	1196
243	385	1194
244	387	1192
245	388	1190
246	390	1189
247	391	1187
248	393	1185
249	394	1183
250	396	1182
251	397	1180
252	399	1178
253	400	1176
254	402	1174
255	403	1173
256	405	1171
257	406	1169
258	408	1167
259	409	1166
260	411	1164
261	412	1162
262	414	1160
263	415	1158
264	417	1156
265	418	1155
266	420	1153
267	421	1152
268	423	1150
269	424	1148
270	426	1146
271	427	1144
272	429	1142
273	430	1140
274	431	1138
275	433	1136
276	434	1135
277	436	1133
278	437	1131
279	439	1129
280	440	1127
281	442	1126
282	443	1124
283	445	1122
284	446	1120
285	448	1118
286	449	1117
287	451	1115
288	452	1113
289	453	1111
290	455	1110
291	457	1108
292	458	1106
293	460	1104
294	461	1103
295	463	1101
296	464	1099
297	466	1097
298	467	1096
299	469	1094
300	470	1092
301	471	1090
302	473	1089
303	474	1087
304	476	1085
305	477	1083
306	479	1081
307	480	1080
308	482	1078
309	483	1077
310	485	1075
311	486	1073
312	488	1072
313	489	1070
314	491	1068
315	493	1067
316	494	1066
317	496	1064
318	497	1062
319	499	1060
320	500	1059
321	502	1057
322	503	1055
323	505	1054
324	506	1052
325	508	1050
326	509	1049
327	511	1047
328	512	1046
329	514	1044
330	516	1043
331	517	1041
332	519	1040
333	520	1038
334	522	1037
335	524	1035
336	525	1034
337	527	1033
338	529	1031
339	530	1030
340	532	1029
341	534	1027
342	535	1026
343	537	1024
344	538	1022
345	540	1022
346	542	1020
347	543	1019
348	545	1017
349	547	1016
350	548	1014
351	550	1013
352	551	1011
353	553	1010
354	555	1008
355	556	1007
356	558	1005
357	559	1003
358	561	1002
359	562	1000
360	564	998
361	565	997
362	567	995
363	569	994
364	570	992
365	571	990
366	573	989
367	575	987
368	576	985
369	577	984
370	579	982
371	581	980
372	582	979
373	583	977
374	585	975
375	587	974
376	589	973
377	590	972
378	592	971
379	594	970
380	596	968
381	598	967
382	599	966
383	601	964
384	602	962
385	604	961
386	605	959
387	607	958
388	608	956
389	610	954
390	612	953
391	613	951
392	615	950
393	616	948
394	618	946
395	619	945
396	621	943
397	622	941
398	624	940
399	625	938
400	627	937
401	628	935
402	630	933
403	632	932
404	633	930
405	635	929
406	637	928
407	639	927
408	640	925
409	642	924
410	643	922
411	645	921
412	647	919
413	649	918
414	650	917
415	652	915
416	653	914
417	655	912
418	656	910
419	658	909
420	659	907
421	661	905
422	663	904
423	664	903
424	666	901
425	667	899
426	669	898
427	671	897
428	673	895
429	674	894
430	675	892
431	677	890
432	679	889
433	680	887
434	682	886
435	683	884
436	685	883
437	687	881
438	688	880
439	690	878
440	692	877
441	694	876
442	695	874
443	697	873
444	698	871
445	700	870
446	701	868
447	703	866
448	704	865
449	706	863
450	707	861
451	709	859
452	710	858
453	712	856
454	713	855
455	715	853
456	716	851
457	718	849
458	719	848
459	721	846
460	722	844
461	724	843
462	725	841
463	727	839
464	728	838
465	730	836
466	731	835
467	733	833
468	734	832
469	736	830
470	738	828
471	739	827
472	741	825
473	742	823
474	743	822
475	745	820
476	746	818
477	748	817
478	749	815
479	751	813
480	752	812
481	754	810
482	755	808
483	757	807
484	758	805
485	760	803
486	761	802
487	763	800
488	764	799
489	766	797
490	767	795
491	768	793
492	770	792
493	771	790
494	773	789
495	775	787
496	776	786
497	778	784
498	779	782
499	781	781
500	782	779
501	784	778
502	785	776
503	787	774
504	788	773
505	790	771
506	792	770
507	793	768
508	794	766
509	796	765
510	798	763
511	799	762
512	801	760
513	802	759
514	804	757
515	806	756
516	807	754
517	809	752
518	810	751
519	812	749
520	813	748
521	815	746
522	816	745
523	818	743
524	819	741
525	821	740
526	822	738
